Date,Symbol,Adj Close,Close,High,Low,Open,Volume,Exchange,Shortname,Longname,Sector,Industry,Currentprice,Marketcap,Ebitda,Revenuegrowth,City,State,Country,Fulltimeemployees,Weight
2024-01-02,GOOGL,137.67092895507812,138.1699981689453,139.4499969482422,136.47999572753906,138.5500030517578,23711200.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-01-03,GOOGL,138.41822814941406,138.9199981689453,139.6300048828125,137.0800018310547,137.25,24212100.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-01-04,GOOGL,135.89735412597656,136.38999938964844,139.16000366210938,136.35000610351562,138.4199981689453,27137700.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-01-05,GOOGL,135.23974609375,135.72999572753906,137.16000366210938,135.14999389648438,136.75,22506000.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-01-08,GOOGL,138.33851623535156,138.83999633789062,139.00999450683594,136.25999450683594,136.2899932861328,21404000.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-01-09,GOOGL,140.44088745117188,140.9499969482422,141.49000549316406,138.14999389648438,138.5,24759600.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-01-10,GOOGL,141.76608276367188,142.27999877929688,143.0,140.91000366210938,141.0,21320200.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-01-11,GOOGL,141.5668182373047,142.0800018310547,145.22000122070312,140.63999938964844,143.49000549316406,24008700.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-01-12,GOOGL,142.13473510742188,142.64999389648438,143.1999969482422,141.82000732421875,142.6699981689453,18768600.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-01-16,GOOGL,141.97532653808594,142.49000549316406,144.35000610351562,141.4499969482422,142.0,22670500.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-01-17,GOOGL,140.95901489257812,141.47000122070312,141.83999633789062,138.89999389648438,141.35000610351562,20968600.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-01-18,GOOGL,142.9617462158203,143.47999572753906,144.2100067138672,141.99000549316406,142.0500030517578,25746400.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-01-19,GOOGL,145.85128784179688,146.3800048828125,146.4499969482422,144.3800048828125,144.74000549316406,33300700.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-01-22,GOOGL,145.4626922607422,145.99000549316406,148.38999938964844,145.83999633789062,147.10000610351562,32200400.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-01-23,GOOGL,146.50888061523438,147.0399932861328,147.17999267578125,145.5,145.88999938964844,21636100.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-01-24,GOOGL,148.16290283203125,148.6999969482422,149.85000610351562,148.10000610351562,148.5399932861328,25233500.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-01-25,GOOGL,151.32142639160156,151.8699951171875,153.0500030517578,149.5399932861328,150.07000732421875,29149100.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-01-26,GOOGL,151.64028930664062,152.19000244140625,152.5399932861328,151.00999450683594,151.10000610351562,26115500.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
