level,category,metric,c_mean,q_mean,c_std,q_std,p_value,significant
l1,d,time,87.0,108.75,30.83597157310181,62.94612208638659,0.4003721740371542,False
l1,d,score,7.0,5.25,0.0,1.5811388300841898,0.016598218188623597,True
l1,u,time,118.125,96.0,32.64281806812291,55.39210877269175,0.35070588942781367,False
l1,u,score,6.125,6.125,0.8345229603962802,0.8345229603962802,1.0,False
l2,d,time,118.5,113.625,60.76418117843533,57.98260207042404,0.8719490581700757,False
l2,d,score,6.25,3.625,0.8864052604279183,1.5059406173077154,0.0012816011621662139,True
l2,u,time,141.125,89.0,42.749895572136445,29.51028876268653,0.0144983677902222,True
l2,u,score,5.25,5.125,1.6690459207925603,1.246423454758225,0.8678479955115569,False
l3,d,time,81.125,106.25,42.14409804468474,50.92220958060862,0.30113129833815233,False
l3,d,score,6.625,3.875,0.7440238091428449,1.3562026818605375,0.0003999863567681695,True
l3,u,time,99.625,51.25,28.65029294290524,17.482644455083367,0.0016498562037377507,True
l3,u,score,6.25,6.25,0.7071067811865476,1.0350983390135313,1.0,False
l4,d,time,72.125,76.625,23.277441562901316,32.87177469241007,0.7571761246788818,False
l4,d,score,6.875,4.25,0.3535533905932738,1.8322507626258087,0.0046101114428848565,True
l4,u,time,88.5,66.625,27.892651361962706,10.822430410956681,0.06837782655407353,False
l4,u,score,6.125,4.75,0.8345229603962802,1.164964745021435,0.01804201304133537,True
